std,samp.depth
NA,0
NA,0
NA,0
NA,0
NA,0
NA,0
NA,0
NA,0
NA,0
NA,0
NA,0
NA,0
NA,0
NA,0
NA,0
NA,0
NA,0
NA,0
NA,0
NA,0
NA,0
NA,0
NA,0
NA,0
NA,0
NA,0
NA,0
NA,0
NA,0
NA,0
1.2278896382414852,1
1.7156594558500442,2
1.3563089493370373,3
1.2970250452365082,3
1.4553502707934232,3
1.3527601535637968,3
0.8046098053104657,3
0.5779079479239421,3
0.8784199069540751,3
0.723749813497535,3
0.25797593235308663,3
0.6024663191041048,3
0.5580355190835506,3
0.8712954982574976,5
0.689996611513271,9
0.9672779025450456,14
0.9265314540445533,17
0.6899877364388755,18
1.3203073185409049,18
0.8482580905303333,18
0.7527114070855077,18
0.5832205420051869,18
0.8685133242664073,27
1.0411391841367248,28
1.195153451053614,31
0.9756513455435849,32
0.5183879617330418,32
0.6445382487422052,32
0.8251182569682195,33
0.9944904039427892,34
1.0165003922591538,36
0.5734611015138613,36
1.0494068301688553,40
1.1100873668899325,41
1.2133782678730718,43
1.2999327125700872,44
1.250242807854009,46
1.2516507148423561,47
1.0877998511202898,47
0.7283059284282948,47
1.2866322048721208,49
1.0313727105937962,51
1.1396622600979132,51
1.2469337645385554,51
1.1934571486194099,51
1.098740547476964,51
0.5963292232698659,51
0.7761896674813514,51
1.081724617850529,51
0.5631044736458357,51
1.051989762724603,51
0.6764891036417515,51
0.6077016669161533,52
0.48245714481389407,52
0.8850211226977845,52
0.6390660885490318,54
0.7656978052363596,54
0.76463332219362945,54
1.0806634417473842,54
0.6953961205779725,54
1.1727100891480529,54
1.8130687073366862,54
1.2714774720327084,54
1.3319788947820266,54
0.7678576108605095,54
0.5711637786329143,54
0.9547754953045187,54
1.2759801743866193,54
0.3718029177211796,54
0.5458869237765733,54
0.6750172795446915,54
0.6181595184608978,57
0.8083089724035729,57
0.7151506935145387,57
1.283978314062338,57
0.6714812159947032,57
0.9141411144901612,57
0.4644235399657263,57
0.5502420606738038,57
0.9941321315414126,57
1.2874173698159848,57
1.059347243435428,57
1.3947886649214942,57
1.1181162261661612,57
1.1214265774918106,57
1.1228819724321941,57
0.6367914626062987,56
0.5185657282224151,54
0.518004155700928,52
0.9632744746234058,51
1.068277324286745,50
0.8742408899236154,47
0.7494170477882354,44
0.5117306014404717,44
1.7313639337664046,35
0.8952296487907219,32
0.9686014970906728,26
NA,0
NA,0
